food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,Match_source,SBERT_score,SBERT_match_name,NOVA_step4,NOVA_final
natural yoghurt,Natural yoghurt,Whole milk yoghurt/fromage frais,1.0,plain dairy,,,,Keyword,,,,1.0
spinach raw not baby spinach,"Spinach, raw (not baby spinach)","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,Keyword,,,,1.0
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,SBERT,0.8634304,oat bran uncooked,1,1
savoury cracker eg sesame and poppy thins butter puffs onion crackers monaco,"Savoury cracker (e.g. Sesame and poppy thins, butter puffs, onion crackers, monaco)","Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",4.0,snack item,,,,Keyword,,,,4.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
carrot soup eg carrot & coriander,Carrot soup (e.g. carrot & coriander),Soups,,,,0.832002359280236,,SBERT,0.88166606,carrot and coriander soup canned,4,4
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,TF-IDF,,,,4
dried apple,Dried apple,Dried fruit,,,,0.7853996500256579,,SBERT,0.80577385,apple dried uncooked,1,1
tomato based pasta sauce home made,"Tomato based pasta sauce, home made","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,homemade item,,,,Keyword,,,,3.0
apple and mango juice,Apple and mango juice,Fruit juices e.g. fresh orange juice,,,,0.7205496184512851,,SBERT,0.8337767,apple juice,1,1
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
red cabbage raw,"Red cabbage, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,Keyword,,,,1.0
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
