Descriptionen,Descriptionen_clean,NOVA_keyword,Keyword_reason,NOVA_tfidf,TFIDF_score,TFIDF_match,TFIDF_source,NOVA_sbert,SBERT_score,SBERT_match,SBERT_source,Model_disagree_flag,NOVA_disagree_flag,Decision_flag,NOVA_final,Matched_name,Final_source,Final_reason
Natural yoghurt,natural yoghurt,1.0,description: plain yoghurt,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain yoghurt
"Spinach, raw (not baby spinach)","spinach, raw (not baby spinach)",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Oats (uncooked),oats (uncooked),1.0,description: raw cereal: oats (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw cereal: oats (description)
"Savoury cracker (e.g. Sesame and poppy thins, butter puffs, onion crackers, monaco)","savoury cracker (e.g. sesame and poppy thins, butter puffs, onion crackers, monaco)",4.0,description: processed snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed snack
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Carrot soup (e.g. carrot & coriander),carrot soup (e.g. carrot & coriander),,,,,,,3,0.88421476,carrot soup,NDNS,False,False,auto_accept,3,carrot soup,NDNS,SBERT matched
Pain au chocolat/chocolate croissant,pain au chocolat/chocolate croissant,,,,,,,4,0.9200438,pain au chocolate chocolate croissant,NDNS,False,False,auto_accept,4,pain au chocolate chocolate croissant,NDNS,SBERT matched
Dried apple,dried apple,1.0,group: dried fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: dried fruit (group)
"Tomato based pasta sauce, home made","tomato based pasta sauce, home made",3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
Apple and mango juice,apple and mango juice,,,,,,,1,0.87114275,apple juice,Giulia,False,False,auto_accept,1,apple juice,Giulia,SBERT matched
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Red cabbage, raw","red cabbage, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
"Jam/conserve, berries (e.g. strawberry)","jam/conserve, berries (e.g. strawberry)",4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
Fruit yoghurt,fruit yoghurt,,,,,,,4,0.8444589,wholemilk fruit yogurt yoghurt with added fibre,NDNS,False,False,auto_accept,4,wholemilk fruit yogurt yoghurt with added fibre,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Kiwi fruit,kiwi fruit,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Pasta shapes, wholemeal","pasta shapes, wholemeal",,,,,,,,0.78618354,flavored pasta,,False,False,auto_accept,,,,Unmatched
Focaccia bread,focaccia bread,,,,,,,,0.79119027,continental breads eg ciabatta focaccia,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","side salad (e.g. including lettuce, tomato, cucumber), no dressing",,,,,,,1,0.86263263,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,False,False,auto_accept,1,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,SBERT matched
