Descriptionen,NOVA_final_fallback,Fallback_source,Fallback_reason
"Pasta shapes, wholemeal",1,Giulia,SBERT fallback
Focaccia bread,4,NDNS,SBERT fallback
"Pasta shapes, wholemeal",1,Giulia,SBERT fallback
Reduced fat/light biscuits (e.g. Mcvities light digestive),4,NDNS,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
Pumpkin soup,3,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Red/yellow/orange pepper, cooked",1,Giulia,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Sweet or savoury pancake,1,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
Passata (strained tomatoes),1,NDNS,SBERT fallback
Oaty biscuit (e.g. Hob nob),4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Oat milk/drink, flavoured (e.g. Alpro chocolate)",4,NDNS,SBERT fallback
Lemonade (including cloudy varieties),4,Giulia,SBERT fallback
Manchego cheese,3,Giulia,SBERT fallback
Brioche burger bun/hot dog bun,4,Giulia,SBERT fallback
"Orange squash, high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Emmental cheese,4,NDNS,SBERT fallback
"Chocolate Orange, milk chocolate (e.g. Terry's)",4,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
Mini cheddars,3,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Ice lolly, juice-based (e.g. Fruit Pastilles)",4,NDNS,SBERT fallback
"Mini sweetcorn (babycorn), cooked",3,NDNS,SBERT fallback
"Bacon, back/middle, unsmoked, grilled (fat removed)",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Ring doughnut, without icing",4,NDNS,SBERT fallback
