Descriptionen,Failure_reason
"Pasta shapes, wholemeal",No match found
Focaccia bread,No match found
"Pasta shapes, wholemeal",No match found
Reduced fat/light biscuits (e.g. Mcvities light digestive),No match found
"Broccoli, steamed/microwaved",No match found
"Broccoli, steamed/microwaved",No match found
Pumpkin soup,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Red/yellow/orange pepper, cooked",No match found
"Wrap/tortilla, white",No match found
Sweet or savoury pancake,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Scotch pancake/drop scone,No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
Passata (strained tomatoes),No match found
Oaty biscuit (e.g. Hob nob),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Oat milk/drink, flavoured (e.g. Alpro chocolate)",No match found
Lemonade (including cloudy varieties),No match found
Manchego cheese,No match found
Brioche burger bun/hot dog bun,No match found
"Orange squash, high juice, no added sugar, diluted",No match found
Emmental cheese,No match found
Cheesy mash,No match found
"Chocolate Orange, milk chocolate (e.g. Terry's)",No match found
Houmous/hummus,No match found
Mini cheddars,No match found
Decaf tea,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Pringles,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Orange squash, no added sugar, diluted",No match found
"Ice lolly, juice-based (e.g. Fruit Pastilles)",No match found
Pom Bears (crisps),No match found
"Mini sweetcorn (babycorn), cooked",No match found
"Bacon, back/middle, unsmoked, grilled (fat removed)",No match found
"Orange squash, no added sugar, diluted",No match found
Pringles,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Scotch pancake/drop scone,No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
Pringles,No match found
"Orange squash, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Ring doughnut, without icing",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Mini cheddars,No match found
Vegetarian mince chilli (e.g. Quorn),No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Malt loaf (e.g. Soreen),No match found
"Orange squash, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
McDonalds Cheeseburger,No match found
